Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,3028,5.0,5,,,,,,,,,,
,,,,,3040,12.0,12,,,,,,,,,,
,,,,,3044,4.0,4,,,,,,,,,,
,,,,,3048,4.0,4,,,,,,,,,,
,,,,,3052,4.0,4,,,,,,,,,,
,,,,,3066,14.0,14,,,,,,,,,,
,,,,,3073,7.0,7,,,,,,,,,,
,,,,,3080,7.0,7,,,,,,,,,,
,,,,,3095,15.0,15,,,,,,,,,,
,,,,,3099,4.0,4,,,,,,,,,,
,,,,,3107,8.0,8,,,,,,,,,,
,,,,,3119,12.0,12,,,,,,,,,,
,,,,,3123,4.0,4,,,,,,,,,,
,,,,,3126,3.0,3,,,,,,,,,,
,,,,,3129,3.0,3,,,,,,,,,,
,,,,,3136,7.0,7,,,,,,,,,,
,,,,,3140,4.0,4,,,,,,,,,,
,,,,,3147,7.0,7,,,,,,,,,,
,,,,,3153,6.0,6,,,,,,,,,,
,,,,,3156,3.0,3,,,,,,,,,,
,,,,,3161,5.0,5,,,,,,,,,,
,,,,,3166,5.0,5,,,,,,,,,,
,,,,,3170,4.0,4,,,,,,,,,,
,,,,,3175,5.0,5,,,,,,,,,,
,,,,,3178,3.0,3,,,,,,,,,,
,,,,,3185,7.0,7,,,,,,,,,,
,,,,,3195,10.0,10,,,,,,,,,,
,,,,,3198,3.0,3,,,,,,,,,,
,,,,,3206,8.0,8,,,,,,,,,,
,,,,,3211,5.0,5,,,,,,,,,,
,,,,,3216,5.0,5,,,,,,,,,,
,,,,,3219,3.0,3,,,,,,,,,,
,,,,,3224,5.0,5,,,,,,,,,,
,,,,,3235,11.0,11,,,,,,,,,,
,,,,,3240,5.0,5,,,,,,,,,,
,,,,,3246,6.0,6,,,,,,,,,,
,,,,,3258,12.0,12,,,,,,,,,,
,,,,,3266,8.0,8,,,,,,,,,,
,,,,,3281,15.0,15,,,,,,,,,,
,,,,,3288,7.0,7,,,,,,,,,,
,,,,,3293,5.0,5,,,,,,,,,,
,,,,,3297,4.0,4,,,,,,,,,,
,,,,,3304,7.0,7,,,,,,,,,,
,,,,,3307,3.0,3,,,,,,,,,,
,,,,,3311,4.0,4,,,,,,,,,,
,,,,,3317,6.0,6,,,,,,,,,,
,,,,,3323,6.0,6,,,,,,,,,,
,,,,,3329,6.0,6,,,,,,,,,,
,,,,,3336,7.0,7,,,,,,,,,,
,,,,,3339,3.0,3,,,,,,,,,,
,,,,,3342,3.0,3,,,,,,,,,,
,,,,,3347,5.0,5,,,,,,,,,,
,,,,,3351,4.0,4,,,,,,,,,,
,,,,,3364,13.0,13,,,,,,,,,,
,,,,,3384,20.0,20,,,,,,,,,,
,,,,,3387,3.0,3,,,,,,,,,,
,,,,,3392,5.0,5,,,,,,,,,,
,,,,,3398,6.0,6,,,,,,,,,,
,,,,,3403,5.0,5,,,,,,,,,,
,,,,,3409,6.0,6,,,,,,,,,,
,,,,,3412,3.0,3,,,,,,,,,,
,,,,,3422,10.0,10,,,,,,,,,,
,,,,,3445,23.0,23,,,,,,,,,,
,,,,,3453,8.0,8,,,,,,,,,,
,,,,,3460,7.0,7,,,,,,,,,,
,,,,,3465,5.0,5,,,,,,,,,,
,,,,,3470,5.0,5,,,,,,,,,,
,,,,,3473,3.0,3,,,,,,,,,,
,,,,,3476,3.0,3,,,,,,,,,,
,,,,,3481,5.0,5,,,,,,,,,,
,,,,,3484,3.0,3,,,,,,,,,,
,,,,,3487,3.0,3,,,,,,,,,,
,,,,,3502,15.0,15,,,,,,,,,,
,,,,,3506,4.0,4,,,,,,,,,,
,,,,,3509,3.0,3,,,,,,,,,,
,,,,,3512,3.0,3,,,,,,,,,,
,,,,,3517,5.0,5,,,,,,,,,,
,,,,,3525,8.0,8,,,,,,,,,,
,,,,,3528,3.0,3,,,,,,,,,,
,,,,,3534,6.0,6,,,,,,,,,,
,,,,,3537,3.0,3,,,,,,,,,,
,,,,,3542,5.0,5,,,,,,,,,,
,,,,,3551,9.0,9,,,,,,,,,,
,,,,,3558,7.0,7,,,,,,,,,,
,,,,,3574,16.0,16,,,,,,,,,,
,,,,,3578,4.0,4,,,,,,,,,,
,,,,,3590,12.0,12,,,,,,,,,,
,,,,,3593,3.0,3,,,,,,,,,,
,,,,,3605,12.0,12,,,,,,,,,,
,,,,,3617,12.0,12,,,,,,,,,,
,,,,,3629,12.0,12,,,,,,,,,,
,,,,,3639,10.0,10,,,,,,,,,,
,,,,,3644,5.0,5,,,,,,,,,,
,,,,,3649,5.0,5,,,,,,,,,,
,,,,,3652,3.0,3,,,,,,,,,,
,,,,,3660,8.0,8,,,,,,,,,,
,,,,,3670,10.0,10,,,,,,,,,,
,,,,,3677,7.0,7,,,,,,,,,,
,,,,,3681,4.0,4,,,,,,,,,,
,,,,,3685,4.0,4,,,,,,,,,,
,,,,,3689,4.0,4,,,,,,,,,,
,,,,,3695,6.0,6,,,,,,,,,,
,,,,,3701,6.0,6,,,,,,,,,,
,,,,,3704,3.0,3,,,,,,,,,,
,,,,,3709,5.0,5,,,,,,,,,,
,,,,,3717,8.0,8,,,,,,,,,,
,,,,,3722,5.0,5,,,,,,,,,,
,,,,,3729,7.0,7,,,,,,,,,,
,,,,,3737,8.0,8,,,,,,,,,,
