Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,13480,12.0,12,,,,,,
,,,,,13503,23.0,23,,,,,,
,,,,,13587,84.0,84,,,,,,
,,,,,13628,41.0,41,,,,,,
,,,,,13707,79.0,79,,,,,,
,,,,,13775,68.0,68,,,,,,
,,,,,13803,28.0,28,,,,,,
,,,,,13857,54.0,54,,,,,,
,,,,,13872,15.0,15,,,,,,
,,,,,13920,48.0,48,,,,,,
,,,,,13938,18.0,18,,,,,,
,,,,,14000,,,0.03361497446894646,11.404217720031738,11.427982330322266,0.7033190131187439,0.58,0.0005
,,,,,14001,63.0,63,,,,,,
,,,,,14022,21.0,21,,,,,,
,,,,,14136,114.0,114,,,,,,
,,,,,14175,39.0,39,,,,,,
,,,,,14260,85.0,85,,,,,,
,,,,,14312,52.0,52,,,,,,
,,,,,14344,32.0,32,,,,,,
,,,,,14389,45.0,45,,,,,,
,,,,,14463,74.0,74,,,,,,
,,,,,14499,36.0,36,,,,,,
,,,,,14541,42.0,42,,,,,,
,,,,,14616,75.0,75,,,,,,
,,,,,14698,82.0,82,,,,,,
,,,,,14724,26.0,26,,,,,,
,,,,,14769,45.0,45,,,,,,
,,,,,14795,26.0,26,,,,,,
,,,,,14809,14.0,14,,,,,,
,,,,,14831,22.0,22,,,,,,
,,,,,14865,34.0,34,,,,,,
,,,,,14897,32.0,32,,,,,,
,,,,,14914,17.0,17,,,,,,
,,,,,14965,51.0,51,,,,,,
,,,,,14985,20.0,20,,,,,,
160.1,27.11623,229.0,131.0,160.1,15000,,,0.08404673635959625,11.91897964477539,11.935770988464355,1.1484187841415405,0.55,0.0005
,,,,,15090,105.0,105,,,,,,
,,,,,15139,49.0,49,,,,,,
,,,,,15172,33.0,33,,,,,,
,,,,,15234,62.0,62,,,,,,
,,,,,15291,57.0,57,,,,,,
,,,,,15315,24.0,24,,,,,,
,,,,,15342,27.0,27,,,,,,
,,,,,15425,83.0,83,,,,,,
,,,,,15474,49.0,49,,,,,,
,,,,,15489,15.0,15,,,,,,
,,,,,15529,40.0,40,,,,,,
,,,,,15565,36.0,36,,,,,,
,,,,,15577,12.0,12,,,,,,
,,,,,15606,29.0,29,,,,,,
,,,,,15663,57.0,57,,,,,,
,,,,,15751,88.0,88,,,,,,
,,,,,15833,82.0,82,,,,,,
,,,,,15864,31.0,31,,,,,,
,,,,,15937,73.0,73,,,,,,
,,,,,15988,51.0,51,,,,,,
,,,,,16000,,,0.012871903367340565,13.305805206298828,13.289449691772461,1.0203403234481812,0.52,0.0005
,,,,,16003,15.0,15,,,,,,
,,,,,16027,24.0,24,,,,,,
,,,,,16054,27.0,27,,,,,,
,,,,,16100,46.0,46,,,,,,
,,,,,16126,26.0,26,,,,,,
,,,,,16152,26.0,26,,,,,,
,,,,,16180,28.0,28,,,,,,
,,,,,16216,36.0,36,,,,,,
,,,,,16275,59.0,59,,,,,,
,,,,,16287,12.0,12,,,,,,
,,,,,16316,29.0,29,,,,,,
,,,,,16367,51.0,51,,,,,,
,,,,,16408,41.0,41,,,,,,
,,,,,16429,21.0,21,,,,,,
,,,,,16455,26.0,26,,,,,,
,,,,,16494,39.0,39,,,,,,
,,,,,16567,73.0,73,,,,,,
,,,,,16618,51.0,51,,,,,,
,,,,,16638,20.0,20,,,,,,
,,,,,16692,54.0,54,,,,,,
,,,,,16830,138.0,138,,,,,,
,,,,,16866,36.0,36,,,,,,
,,,,,16878,12.0,12,,,,,,
,,,,,16901,23.0,23,,,,,,
,,,,,16925,24.0,24,,,,,,
,,,,,17000,,,0.044333502650260925,14.02081298828125,13.97110366821289,1.6289352178573608,0.49,0.0005
,,,,,17020,95.0,95,,,,,,
,,,,,17051,31.0,31,,,,,,
,,,,,17094,43.0,43,,,,,,
,,,,,17124,30.0,30,,,,,,
,,,,,17183,59.0,59,,,,,,
,,,,,17270,87.0,87,,,,,,
,,,,,17298,28.0,28,,,,,,
,,,,,17321,23.0,23,,,,,,
,,,,,17396,75.0,75,,,,,,
,,,,,17416,20.0,20,,,,,,
,,,,,17476,60.0,60,,,,,,
213.7,20.199259,256.0,187.0,213.7,17500,,,0.024032261222600937,14.704924583435059,14.718423843383789,0.8643243312835693,0.475,0.0005
,,,,,17516,40.0,40,,,,,,
,,,,,17541,25.0,25,,,,,,
,,,,,17587,46.0,46,,,,,,
,,,,,17705,118.0,118,,,,,,
,,,,,17719,14.0,14,,,,,,
,,,,,17749,30.0,30,,,,,,
,,,,,17767,18.0,18,,,,,,
,,,,,17813,46.0,46,,,,,,
,,,,,17925,112.0,112,,,,,,
,,,,,17982,57.0,57,,,,,,
,,,,,18000,,,0.02347010187804699,14.014683723449707,14.006023406982422,0.42838916182518005,0.45999999999999996,0.0005
,,,,,18001,19.0,19,,,,,,
,,,,,18071,70.0,70,,,,,,
,,,,,18106,35.0,35,,,,,,
,,,,,18157,51.0,51,,,,,,
,,,,,18171,14.0,14,,,,,,
,,,,,18292,121.0,121,,,,,,
,,,,,18389,97.0,97,,,,,,
,,,,,18418,29.0,29,,,,,,
,,,,,18449,31.0,31,,,,,,
,,,,,18477,28.0,28,,,,,,
,,,,,18516,39.0,39,,,,,,
,,,,,18628,112.0,112,,,,,,
,,,,,18653,25.0,25,,,,,,
,,,,,18677,24.0,24,,,,,,
,,,,,18905,228.0,228,,,,,,
,,,,,19000,,,0.08291634172201157,15.20883560180664,15.241836547851562,2.3261520862579346,0.43000000000000005,0.0005
,,,,,19010,105.0,105,,,,,,
,,,,,19025,15.0,15,,,,,,
,,,,,19121,96.0,96,,,,,,
,,,,,19208,87.0,87,,,,,,
,,,,,19439,231.0,231,,,,,,
,,,,,19482,43.0,43,,,,,,
,,,,,19492,10.0,10,,,,,,
,,,,,19564,72.0,72,,,,,,
,,,,,19640,76.0,76,,,,,,
,,,,,19742,102.0,102,,,,,,
,,,,,19751,9.0,9,,,,,,
,,,,,19773,22.0,22,,,,,,
,,,,,19817,44.0,44,,,,,,
,,,,,19932,115.0,115,,,,,,
,,,,,19981,49.0,49,,,,,,
194.1,20.61286,237.0,168.0,194.1,20000,,,0.39400073885917664,16.267871856689453,16.25197410583496,3.8737339973449707,0.4,0.0005
,,,,,20125,144.0,144,,,,,,
,,,,,20189,64.0,64,,,,,,
,,,,,20205,16.0,16,,,,,,
,,,,,20284,79.0,79,,,,,,
,,,,,20459,175.0,175,,,,,,
,,,,,20533,74.0,74,,,,,,
,,,,,20551,18.0,18,,,,,,
,,,,,20577,26.0,26,,,,,,
,,,,,20608,31.0,31,,,,,,
,,,,,20733,125.0,125,,,,,,
,,,,,20758,25.0,25,,,,,,
,,,,,20828,70.0,70,,,,,,
,,,,,20840,12.0,12,,,,,,
,,,,,20990,150.0,150,,,,,,
,,,,,21000,,,0.019601676613092422,17.406719207763672,17.451448440551758,1.1919066905975342,0.37,0.0005
,,,,,21065,75.0,75,,,,,,
,,,,,21199,134.0,134,,,,,,
,,,,,21338,139.0,139,,,,,,
,,,,,21411,73.0,73,,,,,,
,,,,,21455,44.0,44,,,,,,
,,,,,21484,29.0,29,,,,,,
,,,,,21619,135.0,135,,,,,,
