Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2922,6.0,6,,,,,,,,
,,,,,2927,5.0,5,,,,,,,,
,,,,,2930,3.0,3,,,,,,,,
,,,,,2935,5.0,5,,,,,,,,
,,,,,2941,6.0,6,,,,,,,,
,,,,,2952,11.0,11,,,,,,,,
,,,,,2964,12.0,12,,,,,,,,
,,,,,2971,7.0,7,,,,,,,,
,,,,,2974,3.0,3,,,,,,,,
,,,,,2979,5.0,5,,,,,,,,
,,,,,2988,9.0,9,,,,,,,,
,,,,,2994,6.0,6,,,,,,,,
,,,,,2999,5.0,5,,,,,,,,
,,,,,3002,3.0,3,,,,,,,,
,,,,,3006,4.0,4,,,,,,,,
,,,,,3015,9.0,9,,,,,,,,
,,,,,3018,3.0,3,,,,,,,,
,,,,,3030,12.0,12,,,,,,,,
,,,,,3036,6.0,6,,,,,,,,
,,,,,3039,3.0,3,,,,,,,,
,,,,,3046,7.0,7,,,,,,,,
,,,,,3052,6.0,6,,,,,,,,
,,,,,3057,5.0,5,,,,,,,,
,,,,,3065,8.0,8,,,,,,,,
,,,,,3078,13.0,13,,,,,,,,
,,,,,3087,9.0,9,,,,,,,,
,,,,,3108,21.0,21,,,,,,,,
,,,,,3120,12.0,12,,,,,,,,
,,,,,3124,4.0,4,,,,,,,,
,,,,,3127,3.0,3,,,,,,,,
,,,,,3130,3.0,3,,,,,,,,
,,,,,3137,7.0,7,,,,,,,,
,,,,,3141,4.0,4,,,,,,,,
,,,,,3148,7.0,7,,,,,,,,
,,,,,3153,5.0,5,,,,,,,,
,,,,,3158,5.0,5,,,,,,,,
,,,,,3167,9.0,9,,,,,,,,
,,,,,3171,4.0,4,,,,,,,,
,,,,,3176,5.0,5,,,,,,,,
,,,,,3179,3.0,3,,,,,,,,
,,,,,3186,7.0,7,,,,,,,,
,,,,,3195,9.0,9,,,,,,,,
,,,,,3205,10.0,10,,,,,,,,
,,,,,3227,22.0,22,,,,,,,,
,,,,,3235,8.0,8,,,,,,,,
,,,,,3238,3.0,3,,,,,,,,
,,,,,3245,7.0,7,,,,,,,,
,,,,,3250,5.0,5,,,,,,,,
,,,,,3254,4.0,4,,,,,,,,
,,,,,3258,4.0,4,,,,,,,,
,,,,,3262,4.0,4,,,,,,,,
,,,,,3268,6.0,6,,,,,,,,
,,,,,3283,15.0,15,,,,,,,,
,,,,,3288,5.0,5,,,,,,,,
,,,,,3297,9.0,9,,,,,,,,
,,,,,3306,9.0,9,,,,,,,,
,,,,,3316,10.0,10,,,,,,,,
,,,,,3320,4.0,4,,,,,,,,
,,,,,3331,11.0,11,,,,,,,,
,,,,,3335,4.0,4,,,,,,,,
,,,,,3344,9.0,9,,,,,,,,
,,,,,3350,6.0,6,,,,,,,,
,,,,,3353,3.0,3,,,,,,,,
,,,,,3360,7.0,7,,,,,,,,
,,,,,3364,4.0,4,,,,,,,,
,,,,,3368,4.0,4,,,,,,,,
,,,,,3373,5.0,5,,,,,,,,
,,,,,3376,3.0,3,,,,,,,,
,,,,,3396,20.0,20,,,,,,,,
,,,,,3402,6.0,6,,,,,,,,
,,,,,3407,5.0,5,,,,,,,,
,,,,,3411,4.0,4,,,,,,,,
,,,,,3418,7.0,7,,,,,,,,
,,,,,3423,5.0,5,,,,,,,,
,,,,,3445,22.0,22,,,,,,,,
,,,,,3458,13.0,13,,,,,,,,
,,,,,3468,10.0,10,,,,,,,,
,,,,,3472,4.0,4,,,,,,,,
,,,,,3481,9.0,9,,,,,,,,
,,,,,3485,4.0,4,,,,,,,,
,,,,,3488,3.0,3,,,,,,,,
,,,,,3503,15.0,15,,,,,,,,
,,,,,3507,4.0,4,,,,,,,,
,,,,,3510,3.0,3,,,,,,,,
,,,,,3513,3.0,3,,,,,,,,
,,,,,3518,5.0,5,,,,,,,,
,,,,,3526,8.0,8,,,,,,,,
,,,,,3529,3.0,3,,,,,,,,
,,,,,3534,5.0,5,,,,,,,,
,,,,,3537,3.0,3,,,,,,,,
,,,,,3542,5.0,5,,,,,,,,
,,,,,3554,12.0,12,,,,,,,,
,,,,,3560,6.0,6,,,,,,,,
,,,,,3564,4.0,4,,,,,,,,
,,,,,3573,9.0,9,,,,,,,,
,,,,,3596,23.0,23,,,,,,,,
,,,,,3601,5.0,5,,,,,,,,
,,,,,3604,3.0,3,,,,,,,,
,,,,,3618,14.0,14,,,,,,,,
,,,,,3630,12.0,12,,,,,,,,
,,,,,3640,10.0,10,,,,,,,,
,,,,,3645,5.0,5,,,,,,,,
,,,,,3650,5.0,5,,,,,,,,
,,,,,3653,3.0,3,,,,,,,,
,,,,,3660,7.0,7,,,,,,,,
,,,,,3667,7.0,7,,,,,,,,
,,,,,3676,9.0,9,,,,,,,,
,,,,,3682,6.0,6,,,,,,,,
,,,,,3686,4.0,4,,,,,,,,
,,,,,3690,4.0,4,,,,,,,,
,,,,,3696,6.0,6,,,,,,,,
,,,,,3701,5.0,5,,,,,,,,
,,,,,3707,6.0,6,,,,,,,,
,,,,,3711,4.0,4,,,,,,,,
,,,,,3715,4.0,4,,,,,,,,
,,,,,3721,6.0,6,,,,,,,,
,,,,,3724,3.0,3,,,,,,,,
,,,,,3727,3.0,3,,,,,,,,
,,,,,3741,14.0,14,,,,,,,,
,,,,,3746,5.0,5,,,,,,,,
,,,,,3753,7.0,7,,,,,,,,
,,,,,3764,11.0,11,,,,,,,,
,,,,,3767,3.0,3,,,,,,,,
,,,,,3770,3.0,3,,,,,,,,
,,,,,3774,4.0,4,,,,,,,,
,,,,,3782,8.0,8,,,,,,,,
,,,,,3785,3.0,3,,,,,,,,
,,,,,3798,13.0,13,,,,,,,,
,,,,,3802,4.0,4,,,,,,,,
,,,,,3816,14.0,14,,,,,,,,
,,,,,3822,6.0,6,,,,,,,,
,,,,,3832,10.0,10,,,,,,,,
,,,,,3837,5.0,5,,,,,,,,
,,,,,3864,27.0,27,,,,,,,,
,,,,,3875,11.0,11,,,,,,,,
,,,,,3890,15.0,15,,,,,,,,
,,,,,3897,7.0,7,,,,,,,,
,,,,,3900,3.0,3,,,,,,,,
,,,,,3903,3.0,3,,,,,,,,
,,,,,3909,6.0,6,,,,,,,,
,,,,,3920,11.0,11,,,,,,,,
,,,,,3923,3.0,3,,,,,,,,
,,,,,3928,5.0,5,,,,,,,,
